threshold,TP,FP,FN,TN,TPR,FPR,Precision,IoU,Accuracy
0,43312,7313,0,0,1.00,1.00,0.86,0.86,0.86
5,43312,7313,0,0,1.00,1.00,0.86,0.86,0.86
10,43312,7313,0,0,1.00,1.00,0.86,0.86,0.86
15,43312,7313,0,0,1.00,1.00,0.86,0.86,0.86
20,43312,7313,0,0,1.00,1.00,0.86,0.86,0.86
25,43312,7313,0,0,1.00,1.00,0.86,0.86,0.86
30,43312,7313,0,0,1.00,1.00,0.86,0.86,0.86
35,43312,7313,0,0,1.00,1.00,0.86,0.86,0.86
40,43312,7313,0,0,1.00,1.00,0.86,0.86,0.86
45,43312,7313,0,0,1.00,1.00,0.86,0.86,0.86
50,43312,7313,0,0,1.00,1.00,0.86,0.86,0.86
55,43312,7311,0,2,1.00,1.00,0.86,0.86,0.86
60,43312,7311,0,2,1.00,1.00,0.86,0.86,0.86
65,43312,7310,0,3,1.00,1.00,0.86,0.86,0.86
70,43312,7300,0,13,1.00,1.00,0.86,0.86,0.86
75,43312,7289,0,24,1.00,1.00,0.86,0.86,0.86
80,43311,7267,1,46,1.00,0.99,0.86,0.86,0.86
85,43311,7226,1,87,1.00,0.99,0.86,0.86,0.86
90,43310,7171,2,142,1.00,0.98,0.86,0.86,0.86
95,43309,7093,3,220,1.00,0.97,0.86,0.86,0.86
100,43307,6977,5,336,1.00,0.95,0.86,0.86,0.86
105,43298,6764,14,549,1.00,0.92,0.86,0.86,0.87
110,43266,6426,46,887,1.00,0.88,0.87,0.87,0.87
115,43194,6058,118,1255,1.00,0.83,0.88,0.87,0.88
120,43096,5582,216,1731,1.00,0.76,0.89,0.88,0.89
125,42915,5055,397,2258,0.99,0.69,0.89,0.89,0.89
130,42710,4456,602,2857,0.99,0.61,0.91,0.89,0.90
135,42414,3868,898,3445,0.98,0.53,0.92,0.90,0.91
140,41993,3372,1319,3941,0.97,0.46,0.93,0.90,0.91
145,41616,2833,1696,4480,0.96,0.39,0.94,0.90,0.91
150,41204,2391,2108,4922,0.95,0.33,0.95,0.90,0.91
155,40821,1998,2491,5315,0.94,0.27,0.95,0.90,0.91
160,40432,1713,2880,5600,0.93,0.23,0.96,0.90,0.91
165,40065,1464,3247,5849,0.93,0.20,0.96,0.89,0.91
170,39674,1281,3638,6032,0.92,0.18,0.97,0.89,0.90
175,39266,1126,4046,6187,0.91,0.15,0.97,0.88,0.90
180,38909,983,4403,6330,0.90,0.13,0.98,0.88,0.89
185,38557,853,4755,6460,0.89,0.12,0.98,0.87,0.89
190,38207,723,5105,6590,0.88,0.10,0.98,0.87,0.88
195,37921,579,5391,6734,0.88,0.08,0.98,0.86,0.88
200,37619,417,5693,6896,0.87,0.06,0.99,0.86,0.88
205,36999,246,6313,7067,0.85,0.03,0.99,0.85,0.87
210,36187,147,7125,7166,0.84,0.02,1.00,0.83,0.86
215,35800,104,7512,7209,0.83,0.01,1.00,0.82,0.85
220,35589,53,7723,7260,0.82,0.01,1.00,0.82,0.85
225,35404,22,7908,7291,0.82,0.00,1.00,0.82,0.84
230,35232,4,8080,7309,0.81,0.00,1.00,0.81,0.84
235,35088,0,8224,7313,0.81,0.00,1.00,0.81,0.84
240,34922,0,8390,7313,0.81,0.00,1.00,0.81,0.83
245,34720,0,8592,7313,0.80,0.00,1.00,0.80,0.83
250,34070,0,9242,7313,0.79,0.00,1.00,0.79,0.82
255,0,0,43312,7313,0.00,0.00,0.00,0.00,0.14
